trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type
T00033,R0083,Zone_10,5.41,34.07,133.62,Cash,2024-04-19,0,Kavya Patel,45,Female,Mumbai,2021-12-31,475,39,4.4,2440,1.54,35.4,Industrial
T00034,R0105,Zone_8,7.69,72.38,65.12,UPI,2024-06-21,1,Diya Das,31,Female,Jaipur,2020-09-28,346,9,3.69,4516,1.93,31.0,Business
T00035,R0221,Zone_4,7.49,44.42,65.75,Credit Card,2023-08-15,1,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,4038,2.46,48.2,Business
T00036,R0081,Zone_1,6.59,49.9,125.55,Credit Card,2023-07-29,0,Diya Reddy,42,Other,Mumbai,2022-01-31,114,2,3.9,4921,2.43,30.9,Residential
T00037,R0067,Zone_10,8.71,57.85,106.26,Cash,2024-06-07,1,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,2440,1.54,35.4,Industrial
T00038,R0026,Zone_1,10.71,65.12,172.96,Cash,2023-10-27,0,Aarav Kumar,26,Female,Surat,2020-04-17,44,5,3.17,4921,2.43,30.9,Residential
T00039,R0077,Zone_5,14.7,144.74,322.96,Wallet,2024-03-07,1,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,2590,1.31,43.9,Business
T00040,R0110,Zone_9,0.15,1.26,1.28,UPI,2024-08-15,1,Vivaan Patel,19,Female,Kolkata,2023-02-04,224,28,4.43,11037,1.83,56.1,Mixed
T00041,R0056,Zone_1,5.45,34.13,108.87,Cash,2024-02-24,0,Meera Patel,40,Other,Hyderabad,2021-02-26,93,13,3.25,4921,2.43,30.9,Residential
T00042,R0120,Zone_4,5.76,45.5,57.73,Credit Card,2024-02-25,1,Ishaan Gupta,18,Other,Surat,2020-07-12,311,15,4.55,4038,2.46,48.2,Business
T00043,R0178,Zone_2,12.69,71.08,174.11,Cash,2023-08-07,1,Saanvi Ghosh,27,Male,Delhi,2021-05-15,56,7,3.13,6371,0.91,58.4,Residential
T00044,R0164,Zone_3,6.22,35.17,149.59,UPI,2024-04-02,0,Aadhya Ghosh,37,Other,Ahmedabad,2022-07-06,249,23,4.02,12971,2.11,38.0,Business
T00045,R0221,Zone_9,1.48,7.57,22.98,Credit Card,2024-07-11,1,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,11037,1.83,56.1,Mixed
T00046,R0247,Zone_2,8.44,82.23,70.49,Cash,2023-08-13,0,Aadhya Das,37,Male,Bengaluru,2021-05-11,249,47,4.92,6371,0.91,58.4,Residential
T00047,R0207,Zone_1,7.83,61.12,158.67,Cash,2023-09-03,0,Ishaan Iyer,31,Male,Mumbai,2023-12-06,47,3,3.93,4921,2.43,30.9,Residential
T00048,R0077,Zone_10,8.9,76.5,91.12,Wallet,2023-08-03,0,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,2440,1.54,35.4,Industrial
T00049,R0115,Zone_6,2.8,27.94,33.7,UPI,2024-08-08,0,Aarav Ghosh,40,Female,Bengaluru,2020-03-01,170,15,4.4,14627,0.54,37.6,Mixed
T00050,R0010,Zone_3,16.6,90.94,193.05,Cash,2023-03-20,0,Vivaan Gupta,25,Female,Surat,2023-05-14,173,1,3.38,12971,2.11,38.0,Business
T00051,R0230,Zone_3,6.38,47.94,95.38,Wallet,2023-07-18,1,Kavya Gupta,32,Male,Chennai,2022-11-22,183,23,3.65,12971,2.11,38.0,Business
T00052,R0032,Zone_1,7.06,36.36,101.01,UPI,2024-05-24,0,Kavya Reddy,18,Female,Mumbai,2023-09-20,213,24,4.0,4921,2.43,30.9,Residential
T00053,R0082,Zone_3,3.5,24.24,60.44,Credit Card,2024-07-22,0,Kavya Singh,26,Other,Pune,2022-12-27,274,23,3.15,12971,2.11,38.0,Business
T00054,R0228,Zone_7,3.34,32.09,80.26,UPI,2023-01-13,0,Kavya Ghosh,21,Female,Pune,2020-05-18,10,0,4.84,11070,0.64,45.2,Industrial
T00055,R0266,Zone_9,1.8900000000000001,14.21,45.33,Credit Card,2024-01-23,1,Diya Reddy,29,Other,Chennai,2020-09-25,98,13,3.9,11037,1.83,56.1,Mixed
T00056,R0158,Zone_3,6.03,42.1,137.35,Cash,2023-08-05,1,Aarav Iyer,27,Male,Ahmedabad,2020-07-26,441,60,3.57,12971,2.11,38.0,Business
T00057,R0154,Zone_5,3.21,21.26,61.28,Wallet,2023-01-05,0,Kavya Patel,18,Other,Kolkata,2019-03-25,466,79,4.68,2590,1.31,43.9,Business
T00058,R0020,Zone_10,18.28,161.83,161.65,Cash,2024-01-26,1,Diya Das,35,Female,Chennai,2019-09-17,274,21,4.03,2440,1.54,35.4,Industrial
T00059,R0043,Zone_10,1.44,8.19,13.38,UPI,2023-12-21,0,Diya Kumar,28,Male,Ahmedabad,2021-12-10,85,16,4.68,2440,1.54,35.4,Industrial
T00060,R0146,Zone_4,2.36,17.35,27.83,UPI,2024-03-25,0,Kavya Gupta,30,Male,Surat,2020-04-15,80,11,3.89,4038,2.46,48.2,Business
T00061,R0235,Zone_8,5.99,44.78,54.34,Credit Card,2024-02-15,0,Aarav Ghosh,34,Other,Delhi,2021-02-15,284,8,4.06,4516,1.93,31.0,Business
T00062,R0292,Zone_3,11.37,99.93,252.52,UPI,2023-04-04,1,Diya Patel,37,Female,Jaipur,2020-06-28,141,19,4.39,12971,2.11,38.0,Business
T00063,R0143,Zone_7,5.93,33.28,124.07,Wallet,2023-07-09,0,Meera Kumar,42,Other,Kolkata,2023-03-28,74,13,4.56,11070,0.64,45.2,Industrial
T00064,R0243,Zone_7,11.38,101.38,252.89,Cash,2023-02-10,1,Ishaan Patel,33,Male,Jaipur,2023-02-06,315,11,3.7,11070,0.64,45.2,Industrial
T00065,R0215,Zone_7,3.07,22.86,73.11,UPI,2024-04-15,1,Saanvi Gupta,26,Female,Hyderabad,2020-02-28,438,48,3.24,11070,0.64,45.2,Industrial
T00066,R0207,Zone_3,8.3,62.92,184.22,Credit Card,2023-01-26,0,Ishaan Iyer,31,Male,Mumbai,2023-12-06,47,3,3.93,12971,2.11,38.0,Business
T00067,R0032,Zone_6,16.72,100.34,394.44,Wallet,2024-05-03,1,Kavya Reddy,18,Female,Mumbai,2023-09-20,213,24,4.0,14627,0.54,37.6,Mixed
T00068,R0211,Zone_6,3.16,20.03,65.53,UPI,2023-01-05,0,Arjun Reddy,36,Female,Mumbai,2021-04-04,435,17,3.63,14627,0.54,37.6,Mixed
T00069,R0077,Zone_10,10.1,58.97,178.77,Cash,2023-02-03,0,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,2440,1.54,35.4,Industrial
T00070,R0156,Zone_9,9.03,63.18,120.06,Cash,2023-08-31,1,Ishaan Iyer,33,Female,Jaipur,2022-07-07,255,18,4.28,11037,1.83,56.1,Mixed
T00071,R0232,Zone_2,3.26,29.24,56.16,Wallet,2024-03-01,1,Meera Das,38,Male,Jaipur,2022-12-08,172,15,3.94,6371,0.91,58.4,Residential
T00072,R0263,Zone_9,5.06,48.17,44.44,UPI,2023-07-21,1,Ishaan Das,31,Other,Chennai,2020-12-30,297,21,3.84,11037,1.83,56.1,Mixed
T00073,R0025,Zone_9,13.66,115.24,116.48,Cash,2024-02-23,0,Meera Das,21,Female,Mumbai,2021-10-22,42,3,4.01,11037,1.83,56.1,Mixed
T00074,R0048,Zone_7,8.68,58.17,87.92,Wallet,2023-10-09,1,Kavya Sharma,35,Male,Hyderabad,2019-05-31,207,1,3.02,11070,0.64,45.2,Industrial
T00075,R0008,Zone_5,1.94,14.17,31.82,Cash,2023-01-04,0,Ishaan Ghosh,28,Female,Jaipur,2022-10-01,215,23,4.02,2590,1.31,43.9,Business
T00076,R0055,Zone_1,11.45,113.56,134.34,Cash,2023-11-11,1,Kavya Singh,32,Male,Delhi,2021-11-07,425,12,4.19,4921,2.43,30.9,Residential
T00077,R0115,Zone_4,5.6,54.45,54.1,Wallet,2023-11-26,0,Aarav Ghosh,40,Female,Bengaluru,2020-03-01,170,15,4.4,4038,2.46,48.2,Business
T00078,R0220,Zone_4,9.8,70.64,194.44,Credit Card,2024-06-02,0,Meera Ghosh,32,Female,Kolkata,2023-04-18,491,63,3.78,4038,2.46,48.2,Business
T00079,R0080,Zone_10,9.88,54.31,143.26,Credit Card,2023-03-23,1,Reyansh Kumar,19,Female,Mumbai,2021-05-15,34,6,4.6,2440,1.54,35.4,Industrial
T00080,R0020,Zone_2,2.41,13.57,55.01,Credit Card,2023-08-16,1,Diya Das,35,Female,Chennai,2019-09-17,274,21,4.03,6371,0.91,58.4,Residential
T00081,R0278,Zone_5,11.95,92.3,279.75,UPI,2023-01-06,0,Aarav Reddy,20,Female,Mumbai,2021-09-02,382,58,4.27,2590,1.31,43.9,Business
T00082,R0264,Zone_9,2.96,24.84,67.86,Credit Card,2023-08-03,1,Aadhya Das,27,Other,Delhi,2019-02-06,401,54,3.59,11037,1.83,56.1,Mixed
T00083,R0213,Zone_1,1.47,10.77,19.52,Cash,2023-01-22,1,Kavya Ghosh,29,Female,Chennai,2019-06-04,456,26,3.74,4921,2.43,30.9,Residential
T00084,R0129,Zone_7,3.59,30.5,29.92,Cash,2023-10-16,1,Vivaan Singh,35,Male,Hyderabad,2022-10-08,158,10,3.9,11070,0.64,45.2,Industrial
T00085,R0042,Zone_3,6.27,52.47,156.34,Cash,2023-01-22,0,Arjun Reddy,18,Female,Chennai,2021-05-20,23,4,3.03,12971,2.11,38.0,Business
T00086,R0254,Zone_2,8.55,54.29,70.74,Wallet,2023-01-20,1,Meera Kumar,18,Male,Delhi,2020-03-09,363,70,3.68,6371,0.91,58.4,Residential
T00087,R0227,Zone_7,4.14,37.02,34.19,Credit Card,2023-04-03,1,Arjun Nair,25,Other,Pune,2020-07-11,320,23,4.12,11070,0.64,45.2,Industrial
T00088,R0145,Zone_3,11.72,88.45,158.4,Credit Card,2023-11-29,1,Saanvi Nair,36,Female,Jaipur,2022-12-09,222,43,4.3,12971,2.11,38.0,Business
T00089,R0154,Zone_3,9.26,64.5,184.33,Credit Card,2023-02-15,0,Kavya Patel,18,Other,Kolkata,2019-03-25,466,79,4.68,12971,2.11,38.0,Business
T00090,R0009,Zone_7,4.53,39.15,79.95,Cash,2024-07-12,0,Diya Patel,42,Female,Ahmedabad,2019-12-15,172,21,4.11,11070,0.64,45.2,Industrial
T00091,R0205,Zone_1,12.44,87.74,134.42,Wallet,2023-02-27,1,Diya Singh,31,Other,Surat,2019-05-12,100,14,4.66,4921,2.43,30.9,Residential
T00092,R0059,Zone_4,13.81,120.47,115.41,Cash,2024-01-22,0,Aarav Sharma,43,Male,Delhi,2021-08-02,357,11,3.27,4038,2.46,48.2,Business
T00093,R0119,Zone_4,7.51,47.47,142.75,UPI,2024-04-21,0,Saanvi Iyer,47,Male,Hyderabad,2023-05-05,30,1,4.39,4038,2.46,48.2,Business
T00094,R0271,Zone_7,6.93,58.93,105.07,Wallet,2024-04-18,1,Saanvi Iyer,22,Male,Bengaluru,2022-10-07,58,6,4.37,11070,0.64,45.2,Industrial
T00095,R0004,Zone_3,0.87,6.04,16.87,UPI,2024-04-09,0,Aarav Nair,19,Other,Kolkata,2019-07-28,464,5,3.19,12971,2.11,38.0,Business
T00096,R0298,Zone_5,5.96,50.55,107.7,Cash,2023-02-16,0,Vivaan Singh,35,Female,Ahmedabad,2020-03-25,65,11,3.88,2590,1.31,43.9,Business
T00097,R0061,Zone_4,6.54,53.61,149.53,UPI,2023-12-24,0,Meera Reddy,25,Male,Mumbai,2020-08-20,168,25,3.69,4038,2.46,48.2,Business
T00098,R0127,Zone_8,9.23,58.17,197.25,Wallet,2023-09-07,1,Vivaan Kumar,38,Male,Chennai,2020-03-17,43,2,4.83,4516,1.93,31.0,Business
T00099,R0290,Zone_2,7.16,64.31,116.82,Credit Card,2023-07-01,0,Saanvi Kumar,34,Other,Chennai,2020-05-06,169,4,4.28,6371,0.91,58.4,Residential
T00100,R0127,Zone_4,9.22,64.89,200.69,Wallet,2023-04-02,0,Vivaan Kumar,38,Male,Chennai,2020-03-17,43,2,4.83,4038,2.46,48.2,Business
T00101,R0296,Zone_7,15.67,121.5,388.0,Cash,2024-01-11,1,Reyansh Patel,37,Other,Hyderabad,2021-02-20,390,58,3.97,11070,0.64,45.2,Industrial
T00102,R0088,Zone_5,5.35,53.28,125.86,Credit Card,2023-05-10,0,Diya Iyer,22,Other,Jaipur,2019-07-07,438,0,4.78,2590,1.31,43.9,Business
T00103,R0247,Zone_5,5.55,40.75,125.3,UPI,2024-04-15,1,Aadhya Das,37,Male,Bengaluru,2021-05-11,249,47,4.92,2590,1.31,43.9,Business
T00104,R0021,Zone_1,1.45,8.94,13.26,UPI,2023-06-28,1,Diya Ghosh,37,Female,Pune,2019-05-08,380,17,3.91,4921,2.43,30.9,Residential
T00105,R0210,Zone_5,7.96,45.79,63.84,UPI,2024-06-22,1,Meera Iyer,34,Other,Mumbai,2022-01-02,94,5,3.4,2590,1.31,43.9,Business
T00106,R0073,Zone_1,12.88,86.01,193.62,Wallet,2023-10-13,1,Meera Das,41,Other,Ahmedabad,2021-06-19,490,30,3.01,4921,2.43,30.9,Residential
T00107,R0051,Zone_3,0.76,6.83,9.71,Credit Card,2023-05-22,0,Aarav Nair,21,Male,Kolkata,2020-04-05,213,14,4.02,12971,2.11,38.0,Business
T00108,R0185,Zone_5,4.67,31.35,52.05,Cash,2024-02-03,1,Vivaan Sharma,27,Male,Delhi,2021-08-27,201,12,4.05,2590,1.31,43.9,Business
T00109,R0162,Zone_2,8.18,49.59,93.5,Credit Card,2024-01-14,1,Meera Patel,30,Male,Hyderabad,2023-08-14,394,38,4.28,6371,0.91,58.4,Residential
T00110,R0075,Zone_4,12.25,116.83,202.81,Credit Card,2023-06-30,1,Diya Reddy,18,Female,Mumbai,2021-04-30,108,7,4.83,4038,2.46,48.2,Business
T00111,R0046,Zone_8,9.91,84.04,230.69,Wallet,2023-03-31,1,Vivaan Singh,31,Female,Kolkata,2019-08-16,31,4,3.87,4516,1.93,31.0,Business
T00112,R0148,Zone_1,9.63,81.74,205.35,Cash,2024-07-23,1,Aarav Kumar,44,Male,Ahmedabad,2019-09-30,412,34,3.36,4921,2.43,30.9,Residential
T00113,R0100,Zone_5,6.88,66.15,85.07,Credit Card,2024-04-29,1,Ishaan Gupta,28,Male,Delhi,2021-05-24,383,60,3.79,2590,1.31,43.9,Business
T00114,R0038,Zone_3,10.41,99.21,165.03,Wallet,2023-12-29,0,Aarav Singh,37,Other,Kolkata,2023-02-11,68,7,4.07,12971,2.11,38.0,Business
T00115,R0165,Zone_7,13.07,83.36,253.42,Credit Card,2024-07-07,1,Meera Reddy,37,Female,Kolkata,2021-12-09,34,5,3.27,11070,0.64,45.2,Industrial
T00116,R0215,Zone_2,0.54,3.96,5.27,UPI,2023-12-09,0,Saanvi Gupta,26,Female,Hyderabad,2020-02-28,438,48,3.24,6371,0.91,58.4,Residential
T00117,R0093,Zone_5,11.64,60.74,173.51,Credit Card,2024-08-16,1,Diya Patel,33,Other,Surat,2019-05-30,119,18,3.77,2590,1.31,43.9,Business
T00118,R0266,Zone_2,7.51,43.35,88.93,Cash,2023-05-02,1,Diya Reddy,29,Other,Chennai,2020-09-25,98,13,3.9,6371,0.91,58.4,Residential
T00119,R0108,Zone_7,5.35,31.23,133.14,Wallet,2023-06-30,0,Reyansh Gupta,18,Male,Pune,2019-05-31,184,32,4.88,11070,0.64,45.2,Industrial
T00120,R0175,Zone_2,4.22,29.16,40.82,Cash,2024-03-04,1,Diya Patel,35,Male,Chennai,2022-08-18,98,8,3.48,6371,0.91,58.4,Residential
T00121,R0236,Zone_5,1.1,6.91,17.89,Wallet,2023-12-29,0,Arjun Gupta,28,Male,Ahmedabad,2020-08-10,61,1,3.36,2590,1.31,43.9,Business
T00122,R0278,Zone_1,16.49,126.69,387.03,Cash,2023-11-14,0,Aarav Reddy,20,Female,Mumbai,2021-09-02,382,58,4.27,4921,2.43,30.9,Residential
T00123,R0009,Zone_10,4.5600000000000005,34.92,49.82,Credit Card,2023-10-27,1,Diya Patel,42,Female,Ahmedabad,2019-12-15,172,21,4.11,2440,1.54,35.4,Industrial
T00124,R0297,Zone_8,2.58,13.39,49.39,UPI,2024-05-25,1,Saanvi Gupta,47,Male,Pune,2023-09-20,396,46,3.87,4516,1.93,31.0,Business
T00125,R0002,Zone_9,5.72,41.44,129.43,Credit Card,2024-03-30,0,Ishaan Nair,39,Female,Mumbai,2019-11-23,70,5,4.12,11037,1.83,56.1,Mixed
T00126,R0287,Zone_1,4.27,31.04,69.77,Cash,2023-07-13,0,Saanvi Singh,18,Other,Delhi,2021-12-17,320,34,3.33,4921,2.43,30.9,Residential
T00127,R0098,Zone_8,8.62,43.67,118.52,UPI,2024-04-15,1,Diya Singh,21,Other,Bengaluru,2023-04-29,286,56,3.5,4516,1.93,31.0,Business
T00128,R0113,Zone_10,15.58,134.76,327.97,Wallet,2024-08-23,1,Aadhya Singh,26,Other,Chennai,2019-03-09,423,26,4.61,2440,1.54,35.4,Industrial
T00129,R0047,Zone_4,5.07,29.05,108.85,Wallet,2023-03-14,1,Reyansh Iyer,51,Female,Bengaluru,2021-10-07,69,3,4.86,4038,2.46,48.2,Business
T00130,R0297,Zone_6,8.77,55.57,193.03,UPI,2024-01-21,0,Saanvi Gupta,47,Male,Pune,2023-09-20,396,46,3.87,14627,0.54,37.6,Mixed
T00131,R0246,Zone_1,2.26,19.77,54.11,Wallet,2024-04-15,0,Vivaan Das,29,Other,Mumbai,2021-03-31,240,34,4.79,4921,2.43,30.9,Residential
T00132,R0220,Zone_1,15.6,79.16,238.5,Credit Card,2023-01-24,1,Meera Ghosh,32,Female,Kolkata,2023-04-18,491,63,3.78,4921,2.43,30.9,Residential
T00133,R0060,Zone_4,8.95,80.7,77.22,Cash,2023-07-28,1,Aarav Nair,40,Female,Hyderabad,2023-08-01,123,7,4.57,4038,2.46,48.2,Business
T00134,R0039,Zone_9,2.59,13.62,50.28,UPI,2023-07-30,1,Aadhya Iyer,24,Male,Chennai,2023-11-18,190,14,4.2,11037,1.83,56.1,Mixed
T00135,R0233,Zone_9,12.52,86.28,309.0,Credit Card,2024-01-13,0,Ishaan Iyer,30,Other,Hyderabad,2023-11-23,469,41,4.37,11037,1.83,56.1,Mixed
T00136,R0009,Zone_3,14.0,100.64,155.38,Credit Card,2023-03-17,1,Diya Patel,42,Female,Ahmedabad,2019-12-15,172,21,4.11,12971,2.11,38.0,Business
T00137,R0003,Zone_10,8.81,55.8,71.01,UPI,2023-01-25,1,Kavya Reddy,34,Male,Pune,2023-05-04,45,9,3.76,2440,1.54,35.4,Industrial
T00138,R0132,Zone_1,0.2,1.98,3.5,Wallet,2023-12-18,0,Aadhya Iyer,23,Male,Surat,2022-12-09,484,25,3.32,4921,2.43,30.9,Residential
T00139,R0053,Zone_7,16.93,85.55,323.75,UPI,2023-03-09,0,Arjun Reddy,45,Female,Delhi,2019-09-16,63,7,4.85,11070,0.64,45.2,Industrial
T00140,R0101,Zone_2,9.55,63.77,164.23,Credit Card,2024-07-18,0,Aarav Singh,37,Female,Delhi,2020-11-01,228,29,3.03,6371,0.91,58.4,Residential
T00141,R0112,Zone_4,13.85,137.6,135.59,Cash,2023-08-24,0,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,4038,2.46,48.2,Business
T00142,R0277,Zone_8,5.25,37.61,93.01,Cash,2023-02-11,0,Kavya Gupta,42,Female,Jaipur,2021-01-22,433,16,3.06,4516,1.93,31.0,Business
T00143,R0278,Zone_1,6.01,35.02,140.33,Cash,2024-01-21,0,Aarav Reddy,20,Female,Mumbai,2021-09-02,382,58,4.27,4921,2.43,30.9,Residential
T00144,R0227,Zone_2,8.55,47.24,140.57,Credit Card,2023-05-11,1,Arjun Nair,25,Other,Pune,2020-07-11,320,23,4.12,6371,0.91,58.4,Residential
T00145,R0182,Zone_6,13.57,111.94,176.46,UPI,2023-09-26,0,Meera Patel,43,Male,Jaipur,2020-09-30,8,0,4.4,14627,0.54,37.6,Mixed
T00146,R0288,Zone_2,8.71,64.91,143.0,Wallet,2024-07-17,0,Diya Ghosh,42,Male,Ahmedabad,2021-08-30,43,5,4.56,6371,0.91,58.4,Residential
T00147,R0043,Zone_6,1.72,11.0,28.33,Wallet,2023-08-04,0,Diya Kumar,28,Male,Ahmedabad,2021-12-10,85,16,4.68,14627,0.54,37.6,Mixed
T00148,R0162,Zone_3,9.31,67.23,101.61,Credit Card,2023-06-10,0,Meera Patel,30,Male,Hyderabad,2023-08-14,394,38,4.28,12971,2.11,38.0,Business
T00149,R0232,Zone_4,16.15,114.77,160.8,Credit Card,2023-09-24,1,Meera Das,38,Male,Jaipur,2022-12-08,172,15,3.94,4038,2.46,48.2,Business
T00150,R0240,Zone_9,8.33,48.26,75.22,Wallet,2023-06-12,1,Aarav Iyer,30,Male,Delhi,2020-05-18,174,2,4.07,11037,1.83,56.1,Mixed
T00151,R0260,Zone_6,8.65,81.15,195.04,Wallet,2023-05-30,0,Reyansh Das,55,Other,Mumbai,2019-07-17,63,3,4.24,14627,0.54,37.6,Mixed
T00152,R0238,Zone_7,1.69,9.88,31.89,UPI,2023-01-25,1,Reyansh Patel,30,Other,Pune,2019-04-22,362,56,4.91,11070,0.64,45.2,Industrial
T00153,R0252,Zone_10,0.99,7.74,20.96,UPI,2023-02-06,1,Reyansh Gupta,38,Other,Ahmedabad,2020-09-23,392,47,4.83,2440,1.54,35.4,Industrial
T00154,R0096,Zone_8,4.8100000000000005,27.53,43.26,UPI,2023-05-01,0,Reyansh Das,40,Female,Kolkata,2019-12-28,121,3,4.46,4516,1.93,31.0,Business
